POINT (-72.90311808314 41.416303197517),962,2573,HAMDEN,WHITNEY X SHERMAN AV      2,CBS OUTDOOR INC,1,300,ONE SIGN LEGAL
POINT (-73.427263100693 41.104524016517),262,15611,NORWALK,77-79 CEDAR ST.,CBS OUTDOOR INC,1,750,Internal # 876.
POINT (-72.847498224942 41.40326752056),711,3161,NORTH HAVEN,WASHINGTON X DRYBROOK     2,CBS OUTDOOR INC,3,300,
POINT (-72.870740855631 41.819532217856),295,9664,CANTON,RT44NS 1100FT WO CAN/SIMS TL,"FIORA, BETTY",1,220,
POINT (-72.661013751989 41.747379275837),1049,16506,Hartford,I91SS 1940 FT S/O WAWARME,CBS OUTDOOR INC,2,672,"Internal #'s 363, 364"
POINT (-72.898091588199 41.319200624661),739,11314,NEW HAVEN,FERRY X STATE             3,CBS OUTDOOR INC,1,300,
POINT (-72.819719190621 41.540609279076),1192,942,MERIDEN,438 WEST MAIN ST,CBS OUTDOOR INC,2,300,
POINT (-72.530479598646 41.77280363763),544,15732,MANCHESTER,W SIDE OF RR BRIDGE OVER RT 6,MR. KENNETH C. BURKAMP,1,225,
POINT (-73.00796192782 41.570873490545),591,16525,WATERBURY,797LAKEWOOD RD,CBS OUTDOOR INC,2,300,
POINT (-73.180250297832 41.178674787798),236,16237,BRIDGEPORT,I95 52-54 ANN ST.,Lamar Central Outdoor,2,672,"Panel # 6642, 6643"
POINT (-73.524221260996 41.055939213856),85,15587,STAMFORD,RT1 NS AT CRYSTAL STREET,"CLEAR CHANNEL OUTDOOR, INC.",1,300,NEXT TO RR X
POINT (-72.004009076154 41.86027229894),313,16636,POMFRET,RT44 N/S EAST OF HAMPTON RD,WE LI KIT FARM,1,12,
POINT (-72.949566709408 41.672280858427),651,7692,BRISTOL,WEST ST X PEQUABUCK R     3,CBS OUTDOOR INC,2,300,
POINT (-73.049701599262 41.558222549656),582,5064,WATERBURY,SR847WS AT SWIFT PLACE,CBS OUTDOOR INC,1,300,GANNETT
POINT (-72.970515650779 41.27394080815),194,16578,WEST HAVEN,I95WS 240FT NORTH OF SAWMILL (KENNETH ST),BARRETT OUTDOOR COMMUNICATIONS,2,900,"Panel #: 77, 78."
POINT (-73.180955706594 41.186128852381),1142,150,BRIDGEPORT,845 E MAIN ST             4,Lamar Central Outdoor,1,300,Panel # 588
POINT (-72.822023074941 41.67267543405),621,501,NEW BRITAIN,I84NS 275FT EO MNT RD OV,"TOMASSO BROTHERS, INC.",1,600,"Contact, Frank Walsh   (224-9977)"
POINT (-72.967941863476 41.670756083119),1158,905,BRISTOL,RT 72 TERRYVILLE RD       2,CBS OUTDOOR INC,2,300,
POINT (-73.529863192959 41.051951062674),943,11403,STAMFORD,I95 SS INTER OF ELM ST SOUTH,"CLEAR CHANNEL OUTDOOR, INC.",1,300,OK-OLDEST SIGN
POINT (-73.23354402543 41.155208231015),1153,4970,BRIDGEPORT,3273 FAIRFIELD RT 771     2,Lamar Central Outdoor,1,300,Panel # 98
POINT (-73.472095584868 41.430632865429),917,16841,DANBURY,4 PEMBROKE ROAD,CBS OUTDOOR INC,1,300,
POINT (-72.941726586751 41.682926246984),663,15605,BRISTOL,FARM AVE. RT. 6,CBS OUTDOOR INC,1,300,
POINT (-72.948888529704 41.284703537657),190,15670,WEST HAVEN,I95NS AT 7 CLINTON PL,BARRETT OUTDOOR COMMUNICATIONS,2,900,"Panel #: 26, 27."
POINT (-73.050145702034 41.57768490084),937,16051,WATERBURY,SR847 2960 ES HUNTINGDON AVE,CBS OUTDOOR INC,2,300,
POINT (-73.415908150837 41.119905205115),86,15014,NORWALK,RT 1 SS 75FT WO HOYT ST,Lamar Central Outdoor,2,300,"75FT WEST OF HOYT ST.  Panel # 1536, 1537"
POINT (-73.482390939619 41.384249584366),68,16730,DANBURY,I84 N/S @ RAILROAD TRACKS W/O EXIT 3,CBS OUTDOOR INC,2,672,Internal #'s 873 & 874
POINT (-73.421125003307 41.096792340736),821,10820,NORWALK,MONROE X FRANKLIN STS     4,Lamar Central Outdoor,1,250,Panel # 1695
POINT (-72.709312480786 41.749973276448),40,16550,HARTFORD,I84NS 360FT EO NEW PARK,LAMAR OUTDOOR ADVERTISING,2,672,"Panel #: 1020, 1021."
POINT (-72.661675395814 41.746017533896),1046,16048,Hartford,I91WS 2343 FT SO WAWARME AVE,CBS OUTDOOR INC,2,672,"Internal #'s 323, 324"
POINT (-72.665724922118 41.738285931344),434,1435,HARTFORD,SS AIRPORT RD WS OF RR,LAMAR OUTDOOR ADVERTISING,2,300,"PATRICK.  Panel #: 10139, 10140."
POINT (-72.926888468765 41.515156387046),647,16868,CHESHIRE,905 WTRBY ROAD (RT 70),"LAMAR CENTRAL OUTDOOR, LLC",1,300,"WAS TITAN (7-27-06).  Transfer from Ind. Outdoor III, LLC on 10-17-08.  Panel #: 10650."
POINT (-72.769546300733 41.653120329464),321,224,NEW BRITAIN,"STANLEY X SOUTH RR YD     3, RR",CBS OUTDOOR INC,2,300,
POINT (-72.639841965891 41.774933440592),1095,13969,EAST HARTFORD,1252 1256 MAIN ST 100FT S/O JOHN ST.,LAMAR OUTDOOR ADVERTISING,3,,"Three faces, 1@300 and 2@672.  Panel #: 10040, 50069, 50070."
POINT (-73.073502241747 41.820905420434),1115,4906,TORRINGTON,RT202 SO TORRINGTON N HFD TL,CBS OUTDOOR INC,1,300,
POINT (-73.290340665041 42.015300558193),281,15728,NORTH CANAAN,44 E CANAAN - WELL DRILLING,"MR. LOUIS E. ALLYN & SONS, INC.",1,24,LOUIS ALLYN WELL DRILLING IN EAST CANAAN (part of North Canaan).
POINT (-72.860960103662 41.673341428581),624,11933,PLAINVILLE,EAST MAIN E OF PINE       2,CBS OUTDOOR INC,2,300,
POINT (-72.8170052541 41.685099477446),619,16898,NEW BRITAIN,265 LONG SWAMP ROAD. (location # 1),BARRETT OUTDOOR COMMUNICATIONS,1,672,Panel #: 121.
POINT (-72.072247055028 41.610414166447),385,13095,SPRAGUE,RT97WS 2600FT NO LILLIBRIDGE,CBS OUTDOOR INC,2,300,OK ZONE RURAL
POINT (-72.813959467635 41.287741126853),153,16561,BRANFORD,RT1 SOUTHSIDE EAST OF IVY ST.,CBS OUTDOOR INC,2,250,
POINT (-73.038430468315 41.237268611643),126,13499,MILFORD,1250 BOSTON POST RD       2,CBS OUTDOOR INC,6,300,"WITHIN 500 FT 1@672,2@300"
POINT (-73.175180868577 41.176958006784),782,16799,BRIDGEPORT,i95ES 300ft so centerline ct ave exit29 at 1 ct ave,Lamar Central Outdoor,2,672,"Panel # 5094, 5095"
POINT (-72.665868239776 41.779291769962),1062,16884,HARTFORD,40 PEQUOT STREET(Location C),"INDEPENDENT OUTDOOR III,  LLC",2,672,Transferred from A.V. on 6-27-06
POINT (-73.238410081439 41.161886362642),98,2252,FAIRFIELD,KINGS HWY X R I CUT OFF   4,Lamar Central Outdoor,4,300,"MURPHY*.  Panel # 59, 60, 61, 62"
POINT (-72.727879257074 41.616080197717),884,5479,BERLIN,RT 372 N/S @ BECKLEY RD. NW CORNER,THE BERLIN FAIR ASSOCIATION,2,300,
POINT (-73.131696914348 41.194244612899),900,3829,STRATFORD,MAIN ST W S RR BRG 4710   3,"CBS OUTDOOR GROUP, LLC",1,300,
